id,county,state,estimate_households_total,estimate_households_total_less_than_10_000,estimate_households_total_10_000_to_14_999,estimate_households_total_15_000_to_24_999,estimate_households_total_25_000_to_34_999,estimate_households_total_35_000_to_49_999,estimate_households_total_50_000_to_74_999,estimate_households_total_75_000_to_99_999,estimate_households_total_100_000_to_149_999,estimate_households_total_150_000_to_199_999,estimate_households_total_200_000_or_more,estimate_households_median_income_dollars,estimate_households_mean_income_dollars,disparity_value,income_class
0500000US48441,Taylor,Texas,50282,7.2,5,8.7,10.2,13.8,20.2,13.8,13.6,4.1,3.4,55351,73223,17872,Low
0500000US48451,Tom Green,Texas,43604,5.1,5.7,9.5,11.9,11.6,18.3,11.7,16.9,5.3,4,55988,76496,20508,Low
0500000US48453,Travis,Texas,507751,5.4,2.2,5.8,6.2,10.7,16.1,13.2,17.5,9.8,13.1,80726,114226,33500,Very High
0500000US48469,Victoria,Texas,30058,4.3,6.9,11.1,9.4,11.7,17.5,15.1,12.2,7.2,4.6,57358,77910,20552,Low
0500000US48471,Walker,Texas,22201,9.7,4.2,13.3,7.5,16.5,18.7,15,9.6,2.8,2.8,47170,61332,14162,Very Low
0500000US48479,Webb,Texas,76326,6.8,5.9,12.4,9.2,11.2,17.4,14.6,14.7,3.1,4.6,56084,71396,15312,Low
0500000US48485,Wichita,Texas,48315,8.4,4.7,11.2,7.4,15.9,19.9,13.1,13.5,3,2.9,51749,66883,15134,Very Low
0500000US48491,Williamson,Texas,193008,2.4,1.4,4.1,4.6,10.6,17.9,13.7,22,12.6,10.7,92179,109561,17382,Very High
0500000US48497,Wise,Texas,22882,3.5,3.1,3.2,10.1,8.3,22.8,13.3,18,9.1,8.5,71421,93845,22424,High
0500000US49005,Cache,Utah,40206,5.3,4.5,6.6,9.8,13.3,20.8,15.4,15.5,4.8,4,62507,76347,13840,Middle
0500000US49011,Davis,Utah,109358,1.9,1.7,4.4,5,9.2,19.4,17.6,22.8,9.9,8.1,87427,104887,17460,Very High
0500000US49035,Salt Lake,Utah,384692,3.9,2.6,5.4,6.1,10,18.6,15.7,19.5,9.7,8.4,80119,101876,21757,Very High
0500000US49045,Tooele,Utah,21292,2.8,2.6,3.3,6.8,8.7,23,16.8,26,6.2,3.8,80973,87638,6665,Very High
0500000US49049,Utah,Utah,178152,2.8,2.1,6.3,7.2,10.4,18.3,15.3,21.4,8.6,7.7,79545,99329,19784,Very High
0500000US49053,Washington,Utah,63144,1.9,4.6,8.4,10.6,11.4,21.1,15.1,14.6,6,6.4,63595,88888,25293,Middle
0500000US49057,Weber,Utah,87863,3.1,2.9,5.4,8.4,11.4,20.7,18.4,18.1,5.9,5.6,72206,87362,15156,High
0500000US50007,Chittenden,Vermont,68516,6.2,3.5,4.6,7.1,9.8,17.3,13.6,18.7,9.1,10.3,76806,98519,21713,Very High
0500000US51003,Albemarle,Virginia,43754,3.1,2.9,5.7,5.3,9.3,16.5,14.6,16.3,11.9,14.4,86399,120456,34057,Very High
0500000US51013,Arlington,Virginia,111887,4.3,2.1,3.7,3.2,5,13.4,10.6,18.8,14.8,24,119755,158886,39131,Very High
0500000US51015,Augusta,Virginia,29951,3,3,7.3,7.3,18.6,20,16.1,17.2,5.3,2.2,62668,75789,13121,Middle
0500000US51019,Bedford,Virginia,31390,5,2.8,6.9,10.1,12.9,16.4,16.5,16.2,6.6,6.7,69125,89999,20874,High
0500000US51041,Chesterfield,Virginia,128920,2.3,2.4,5.2,8.3,9.5,18.6,13,22.6,9,9.2,81297,101694,20397,Very High
0500000US51059,Fairfax,Virginia,400186,2.8,1.1,2.8,3.5,6.6,10.6,11.1,19.4,15.2,26.8,128374,160598,32224,Very High
