id,county,state,total_income,estimate_households,mean_income,median_income,disparity_value
0500000US04001,Apache County, Arizona,"150,000-199,999",1.4,30480,43748,13268
0500000US04001,Apache County, Arizona,"200,000+",0.7,30480,43748,13268
0500000US04003,Cochise County, Arizona,"0-10,000",7.8,48484,67592,19108
0500000US04003,Cochise County, Arizona,"10,000-14,999",4.5,48484,67592,19108
0500000US04003,Cochise County, Arizona,"15,000-24,999",9.9,48484,67592,19108
0500000US04003,Cochise County, Arizona,"25,000-34,999",11,48484,67592,19108
0500000US04003,Cochise County, Arizona,"35,000-49,999",18.5,48484,67592,19108
0500000US04003,Cochise County, Arizona,"50,000-74,999",15.6,48484,67592,19108
0500000US04003,Cochise County, Arizona,"75,000-99,999",10.7,48484,67592,19108
0500000US04003,Cochise County, Arizona,"100,000-149,999",14.3,48484,67592,19108
0500000US04003,Cochise County, Arizona,"150,000-199,999",4.9,48484,67592,19108
0500000US04003,Cochise County, Arizona,"200,000+",2.8,48484,67592,19108
0500000US04005,Coconino County, Arizona,"0-10,000",9.3,58085,81219,23134
0500000US04005,Coconino County, Arizona,"10,000-14,999",5.5,58085,81219,23134
0500000US04005,Coconino County, Arizona,"15,000-24,999",6.7,58085,81219,23134
0500000US04005,Coconino County, Arizona,"25,000-34,999",6.8,58085,81219,23134
0500000US04005,Coconino County, Arizona,"35,000-49,999",13.8,58085,81219,23134
0500000US04005,Coconino County, Arizona,"50,000-74,999",18.2,58085,81219,23134
0500000US04005,Coconino County, Arizona,"75,000-99,999",10.9,58085,81219,23134
0500000US04005,Coconino County, Arizona,"100,000-149,999",15,58085,81219,23134
0500000US04005,Coconino County, Arizona,"150,000-199,999",8.3,58085,81219,23134
0500000US04005,Coconino County, Arizona,"200,000+",5.6,58085,81219,23134
0500000US04013,Maricopa County, Arizona,"0-10,000",5,68649,92992,24343
0500000US04013,Maricopa County, Arizona,"10,000-14,999",2.8,68649,92992,24343
0500000US04013,Maricopa County, Arizona,"15,000-24,999",7.2,68649,92992,24343
0500000US04013,Maricopa County, Arizona,"25,000-34,999",7.5,68649,92992,24343
0500000US04013,Maricopa County, Arizona,"35,000-49,999",12.8,68649,92992,24343
0500000US04013,Maricopa County, Arizona,"50,000-74,999",18.6,68649,92992,24343
0500000US04013,Maricopa County, Arizona,"75,000-99,999",13.7,68649,92992,24343
0500000US04013,Maricopa County, Arizona,"100,000-149,999",16.8,68649,92992,24343
0500000US04013,Maricopa County, Arizona,"150,000-199,999",7.3,68649,92992,24343
0500000US04013,Maricopa County, Arizona,"200,000+",8.3,68649,92992,24343
0500000US04015,Mohave County, Arizona,"0-10,000",4.9,50179,63437,13258
0500000US04015,Mohave County, Arizona,"10,000-14,999",4.9,50179,63437,13258
0500000US04015,Mohave County, Arizona,"15,000-24,999",12.1,50179,63437,13258
0500000US04015,Mohave County, Arizona,"25,000-34,999",11.2,50179,63437,13258
0500000US04015,Mohave County, Arizona,"35,000-49,999",16.6,50179,63437,13258
0500000US04015,Mohave County, Arizona,"50,000-74,999",22.5,50179,63437,13258
0500000US04015,Mohave County, Arizona,"75,000-99,999",12.6,50179,63437,13258
0500000US04015,Mohave County, Arizona,"100,000-149,999",9.8,50179,63437,13258
0500000US04015,Mohave County, Arizona,"150,000-199,999",2.7,50179,63437,13258
0500000US04015,Mohave County, Arizona,"200,000+",2.5,50179,63437,13258
0500000US04017,Navajo County, Arizona,"0-10,000",12.8,38897,53425,14528
0500000US04017,Navajo County, Arizona,"10,000-14,999",5.1,38897,53425,14528
0500000US04017,Navajo County, Arizona,"15,000-24,999",10.8,38897,53425,14528
0500000US04017,Navajo County, Arizona,"25,000-34,999",15.9,38897,53425,14528
0500000US04017,Navajo County, Arizona,"35,000-49,999",15.8,38897,53425,14528
0500000US04017,Navajo County, Arizona,"50,000-74,999",15.7,38897,53425,14528
0500000US04017,Navajo County, Arizona,"75,000-99,999",9.9,38897,53425,14528
0500000US04017,Navajo County, Arizona,"100,000-149,999",9.8,38897,53425,14528
0500000US04017,Navajo County, Arizona,"150,000-199,999",2.8,38897,53425,14528
0500000US04017,Navajo County, Arizona,"200,000+",1.5,38897,53425,14528
0500000US04019,Pima County, Arizona,"0-10,000",6.9,56169,76892,20723
0500000US04019,Pima County, Arizona,"10,000-14,999",4.3,56169,76892,20723
0500000US04019,Pima County, Arizona,"15,000-24,999",9.7,56169,76892,20723
0500000US04019,Pima County, Arizona,"25,000-34,999",10,56169,76892,20723
0500000US04019,Pima County, Arizona,"35,000-49,999",14.5,56169,76892,20723
0500000US04019,Pima County, Arizona,"50,000-74,999",17.4,56169,76892,20723
0500000US04019,Pima County, Arizona,"75,000-99,999",13.1,56169,76892,20723
0500000US04019,Pima County, Arizona,"100,000-149,999",13.8,56169,76892,20723
0500000US04019,Pima County, Arizona,"150,000-199,999",5.2,56169,76892,20723
0500000US04019,Pima County, Arizona,"200,000+",5,56169,76892,20723
0500000US04021,Pinal County, Arizona,"0-10,000",4.2,62057,78763,16706
0500000US04021,Pinal County, Arizona,"10,000-14,999",3.1,62057,78763,16706
0500000US04021,Pinal County, Arizona,"15,000-24,999",8.2,62057,78763,16706
0500000US04021,Pinal County, Arizona,"25,000-34,999",8.1,62057,78763,16706
0500000US04021,Pinal County, Arizona,"35,000-49,999",14.6,62057,78763,16706
0500000US04021,Pinal County, Arizona,"50,000-74,999",21.7,62057,78763,16706
0500000US04021,Pinal County, Arizona,"75,000-99,999",14.6,62057,78763,16706
0500000US04021,Pinal County, Arizona,"100,000-149,999",16.1,62057,78763,16706
0500000US04021,Pinal County, Arizona,"150,000-199,999",5.6,62057,78763,16706
0500000US04021,Pinal County, Arizona,"200,000+",3.9,62057,78763,16706
0500000US04025,Yavapai County, Arizona,"0-10,000",5.5,53816,71282,17466
0500000US04025,Yavapai County, Arizona,"10,000-14,999",5,53816,71282,17466
0500000US04025,Yavapai County, Arizona,"15,000-24,999",10.7,53816,71282,17466
0500000US04025,Yavapai County, Arizona,"25,000-34,999",9.4,53816,71282,17466
0500000US04025,Yavapai County, Arizona,"35,000-49,999",15.6,53816,71282,17466
0500000US04025,Yavapai County, Arizona,"50,000-74,999",21.1,53816,71282,17466
0500000US04025,Yavapai County, Arizona,"75,000-99,999",11.5,53816,71282,17466
0500000US04025,Yavapai County, Arizona,"100,000-149,999",12,53816,71282,17466
0500000US04025,Yavapai County, Arizona,"150,000-199,999",4.2,53816,71282,17466
0500000US04025,Yavapai County, Arizona,"200,000+",4.8,53816,71282,17466
0500000US04027,Yuma County, Arizona,"0-10,000",10.5,46419,59182,12763
0500000US04027,Yuma County, Arizona,"10,000-14,999",5.6,46419,59182,12763
0500000US04027,Yuma County, Arizona,"15,000-24,999",11.2,46419,59182,12763
0500000US04027,Yuma County, Arizona,"25,000-34,999",10.9,46419,59182,12763
0500000US04027,Yuma County, Arizona,"35,000-49,999",14.5,46419,59182,12763
0500000US04027,Yuma County, Arizona,"50,000-74,999",18.8,46419,59182,12763
0500000US04027,Yuma County, Arizona,"75,000-99,999",14.9,46419,59182,12763
0500000US04027,Yuma County, Arizona,"100,000-149,999",9.5,46419,59182,12763
0500000US04027,Yuma County, Arizona,"150,000-199,999",2.3,46419,59182,12763
0500000US04027,Yuma County, Arizona,"200,000+",1.8,46419,59182,12763
0500000US05007,Benton County, Arkansas,"0-10,000",4.4,69130,96757,27627
0500000US05007,Benton County, Arkansas,"10,000-14,999",3.4,69130,96757,27627
0500000US05007,Benton County, Arkansas,"15,000-24,999",6.9,69130,96757,27627
0500000US05007,Benton County, Arkansas,"25,000-34,999",7.7,69130,96757,27627
0500000US05007,Benton County, Arkansas,"35,000-49,999",11.2,69130,96757,27627
