id,county,state,age,total,percent
0500000US01121,Talladega County, Alabama,15 to 19 ,5725,7.2
0500000US01121,Talladega County, Alabama,20 to 24 ,4913,6.1
0500000US01121,Talladega County, Alabama,25 to 29 ,4814,6
0500000US01121,Talladega County, Alabama,30 to 34 ,4685,5.9
0500000US01121,Talladega County, Alabama,35 to 39 ,4405,5.5
0500000US01121,Talladega County, Alabama,40 to 44 ,5231,6.5
0500000US01121,Talladega County, Alabama,45 to 49 ,5547,6.9
0500000US01121,Talladega County, Alabama,50 to 54 ,4931,6.2
0500000US01121,Talladega County, Alabama,55 to 59 ,5232,6.5
0500000US01121,Talladega County, Alabama,60 to 64 ,6065,7.6
0500000US01121,Talladega County, Alabama,65 to 69 ,5253,6.6
0500000US01121,Talladega County, Alabama,70 to 74 ,3443,4.3
0500000US01121,Talladega County, Alabama,75 to 79 ,1864,2.3
0500000US01121,Talladega County, Alabama,80 to 84 ,3069,3.8
0500000US01121,Talladega County, Alabama,85  and over,982,1.2
0500000US01125,Tuscaloosa County, Alabama,under 5 ,12280,5.9
0500000US01125,Tuscaloosa County, Alabama,5 to 9 ,11986,5.7
0500000US01125,Tuscaloosa County, Alabama,10 to 14 ,11878,5.7
0500000US01125,Tuscaloosa County, Alabama,15 to 19 ,22258,10.6
0500000US01125,Tuscaloosa County, Alabama,20 to 24 ,19364,9.2
0500000US01125,Tuscaloosa County, Alabama,25 to 29 ,16860,8.1
0500000US01125,Tuscaloosa County, Alabama,30 to 34 ,13377,6.4
0500000US01125,Tuscaloosa County, Alabama,35 to 39 ,12368,5.9
0500000US01125,Tuscaloosa County, Alabama,40 to 44 ,12773,6.1
0500000US01125,Tuscaloosa County, Alabama,45 to 49 ,12675,6.1
0500000US01125,Tuscaloosa County, Alabama,50 to 54 ,11062,5.3
0500000US01125,Tuscaloosa County, Alabama,55 to 59 ,11714,5.6
0500000US01125,Tuscaloosa County, Alabama,60 to 64 ,11907,5.7
0500000US01125,Tuscaloosa County, Alabama,65 to 69 ,10087,4.8
0500000US01125,Tuscaloosa County, Alabama,70 to 74 ,7752,3.7
0500000US01125,Tuscaloosa County, Alabama,75 to 79 ,5841,2.8
0500000US01125,Tuscaloosa County, Alabama,80 to 84 ,2732,1.3
0500000US01125,Tuscaloosa County, Alabama,85  and over,2441,1.2
0500000US01127,Walker County, Alabama,under 5 ,3574,5.6
0500000US01127,Walker County, Alabama,5 to 9 ,3530,5.6
0500000US01127,Walker County, Alabama,10 to 14 ,4211,6.6
0500000US01127,Walker County, Alabama,15 to 19 ,3901,6.1
0500000US01127,Walker County, Alabama,20 to 24 ,3728,5.9
0500000US01127,Walker County, Alabama,25 to 29 ,3909,6.2
0500000US01127,Walker County, Alabama,30 to 34 ,3150,5
0500000US01127,Walker County, Alabama,35 to 39 ,3910,6.2
0500000US01127,Walker County, Alabama,40 to 44 ,3266,5.1
0500000US01127,Walker County, Alabama,45 to 49 ,3919,6.2
0500000US01127,Walker County, Alabama,50 to 54 ,4850,7.6
0500000US01127,Walker County, Alabama,55 to 59 ,4445,7
0500000US01127,Walker County, Alabama,60 to 64 ,5116,8.1
0500000US01127,Walker County, Alabama,65 to 69 ,3448,5.4
0500000US01127,Walker County, Alabama,70 to 74 ,3595,5.7
0500000US01127,Walker County, Alabama,75 to 79 ,1858,2.9
0500000US01127,Walker County, Alabama,80 to 84 ,1499,2.4
0500000US01127,Walker County, Alabama,85  and over,1612,2.5
0500000US02020,Anchorage Municipality, Alaska,under 5 ,19728,6.9
0500000US02020,Anchorage Municipality, Alaska,5 to 9 ,20902,7.3
0500000US02020,Anchorage Municipality, Alaska,10 to 14 ,18573,6.4
0500000US02020,Anchorage Municipality, Alaska,15 to 19 ,18225,6.3
0500000US02020,Anchorage Municipality, Alaska,20 to 24 ,20111,7
0500000US02020,Anchorage Municipality, Alaska,25 to 29 ,24773,8.6
0500000US02020,Anchorage Municipality, Alaska,30 to 34 ,24958,8.7
0500000US02020,Anchorage Municipality, Alaska,35 to 39 ,20403,7.1
0500000US02020,Anchorage Municipality, Alaska,40 to 44 ,17425,6.1
0500000US02020,Anchorage Municipality, Alaska,45 to 49 ,15731,5.5
0500000US02020,Anchorage Municipality, Alaska,50 to 54 ,18153,6.3
0500000US02020,Anchorage Municipality, Alaska,55 to 59 ,18509,6.4
0500000US02020,Anchorage Municipality, Alaska,60 to 64 ,17693,6.1
0500000US02020,Anchorage Municipality, Alaska,65 to 69 ,11008,3.8
0500000US02020,Anchorage Municipality, Alaska,70 to 74 ,10549,3.7
0500000US02020,Anchorage Municipality, Alaska,75 to 79 ,5677,2
0500000US02020,Anchorage Municipality, Alaska,80 to 84 ,3575,1.2
0500000US02020,Anchorage Municipality, Alaska,85  and over,2007,0.7
0500000US02090,Fairbanks North Star Borough, Alaska,under 5 ,6729,6.9
0500000US02090,Fairbanks North Star Borough, Alaska,5 to 9 ,6983,7.2
0500000US02090,Fairbanks North Star Borough, Alaska,10 to 14 ,6030,6.2
0500000US02090,Fairbanks North Star Borough, Alaska,15 to 19 ,6432,6.6
0500000US02090,Fairbanks North Star Borough, Alaska,20 to 24 ,9395,9.7
0500000US02090,Fairbanks North Star Borough, Alaska,25 to 29 ,9147,9.4
0500000US02090,Fairbanks North Star Borough, Alaska,30 to 34 ,7039,7.3
0500000US02090,Fairbanks North Star Borough, Alaska,35 to 39 ,6270,6.5
0500000US02090,Fairbanks North Star Borough, Alaska,40 to 44 ,6389,6.6
0500000US02090,Fairbanks North Star Borough, Alaska,45 to 49 ,6022,6.2
0500000US02090,Fairbanks North Star Borough, Alaska,50 to 54 ,4836,5
0500000US02090,Fairbanks North Star Borough, Alaska,55 to 59 ,5212,5.4
0500000US02090,Fairbanks North Star Borough, Alaska,60 to 64 ,5415,5.6
0500000US02090,Fairbanks North Star Borough, Alaska,65 to 69 ,5093,5.3
0500000US02090,Fairbanks North Star Borough, Alaska,70 to 74 ,2629,2.7
0500000US02090,Fairbanks North Star Borough, Alaska,75 to 79 ,1857,1.9
0500000US02090,Fairbanks North Star Borough, Alaska,80 to 84 ,786,0.8
0500000US02090,Fairbanks North Star Borough, Alaska,85  and over,585,0.6
0500000US02170,Matanuska-Susitna Borough, Alaska,under 5 ,7255,6.7
0500000US02170,Matanuska-Susitna Borough, Alaska,5 to 9 ,8622,8
0500000US02170,Matanuska-Susitna Borough, Alaska,10 to 14 ,8032,7.4
