age,gender,race,police_dept,disposition,year,month,day,city,state,county,cause_of_death,criminal_charges,symptoms_of_mental_illness,lat,lng,state_name,id,estimate_households_total,estimate_households_total_less_than_10_000,estimate_households_total_10_000_to_14_999,estimate_households_total_15_000_to_24_999,estimate_households_total_25_000_to_34_999,estimate_households_total_35_000_to_49_999,estimate_households_total_50_000_to_74_999,estimate_households_total_75_000_to_99_999,estimate_households_total_100_000_to_149_999,estimate_households_total_150_000_to_199_999,estimate_households_total_200_000_or_more,estimate_households_median_income_dollars,estimate_households_mean_income_dollars,disparity_value,income_class
46,Male,White,Pennsylvania State Police Department,Unreported,2013,7,19,Latrobe,PA,Westmoreland,Gunshot,No known charges,No,40.3125,-79.3826,Pennsylvania,0500000US42129,155147,7.2,3.9,9.1,9.3,13.7,17.9,14,14.1,5.9,5,59073,77715,18642,Low
34,Male,Asian,Richland County Sheriff's Office,Justified,2013,7,18,Columbia,SC,Richland,Gunshot,No known charges,No,34.0376,-80.9037,South Carolina,0500000US45079,153484,9.7,3.5,9.9,9.3,14.7,16.4,12,12.7,6.6,5,52293,76348,24055,Very Low
23,Male,Black,Broward County Sheriff's Office,Justified,2013,7,18,Pembroke Pines,FL,Broward,Gunshot,No known charges,No,26.0128,-80.3382,Florida,0500000US12011,705472,6.3,4.2,8.3,8.9,13.2,18,12.4,14.4,6.4,8,61502,88786,27284,Middle
24,Male,Black,Vacaville Police Department,Unknown,2013,7,18,Vacaville,CA,Solano,Gunshot,No known charges,No,38.359,-121.968,California,0500000US06095,150393,4.4,2.2,4.3,6.3,9.7,16,15.6,20.5,10.9,10.1,86652,105465,18813,Very High
44,Male,Black,Baltimore Police Department,Justified,2013,7,18,Baltimore,MD,Baltimore City,Beaten,No known charges,No,39.3051,-76.6144,Maryland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Male,Black,Alameda Police Department,Pending investigation/No Known Charges,2013,7,18,Alameda,CA,Alameda,Gunshot,No known charges,No,37.767,-122.2672,California,0500000US06001,585632,4.2,3.4,4.9,4.8,6.4,11.6,10.7,19,12.8,22.2,108322,141427,33105,Very High
19,Male,Hispanic,Dallas Police Department,Justified,2013,7,17,Dallas,TX,Dallas,Gunshot,No known charges,Unknown,32.7936,-96.7662,Texas,0500000US48113,940587,6.2,3.2,7.7,8.7,14.3,19.3,12.4,14.5,5.6,8.1,61796,91752,29956,Middle
38,Male,White,Shasta County SWAT team,Justified,2013,7,17,Anderson,CA,Shasta,Gunshot,No known charges,No,40.4497,-122.295,California,0500000US06089,72714,4.9,5.9,11,7.1,12.4,16.1,14.5,14.6,7.9,5.4,63091,81663,18572,Middle
39,Male,Black,St. Petersburg Police Department,Justified,2013,7,16,St. Petersburg,FL,Pinellas,Gunshot,No known charges,No,27.7931,-82.6652,Florida,0500000US12103,395286,6.1,4.1,8.9,9.6,14.5,17.7,13.7,13.4,5.3,6.7,56737,83277,26540,Low
19,Male,Black,San Antonio Police Department,Unreported,2013,7,16,San Antonio,TX,Bexar,Gunshot,No known charges,No,29.4658,-98.5253,Texas,0500000US48029,646352,6.6,3.9,9.1,9.5,13.1,19.7,12.8,14.1,6,5.3,58964,79424,20460,Low
46,Male,Unknown race,Kentucky State Police,Unreported,2013,7,16,Oil Springs,KY,Johnson,Gunshot,No known charges,Drug or alcohol use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,Female,White,Oil City Police Department,Justified,2013,7,16,Oil CIty,PA,Venango,Gunshot,No known charges,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Male,White,Los Angeles Police Department,Unreported,2013,7,16,Los Angeles,CA,Los Angeles,Gunshot,No known charges,No,34.1139,-118.4068,California,0500000US06037,3328398,5.4,4.3,7.5,7.3,10.5,16.2,12.4,16.8,8.4,11.3,72797,104063,31266,High
26,Male,Black,Little Rock Police Department,Justified,2013,7,15,Little Rock,AR,Pulaski,Gunshot,No known charges,No,34.7256,-92.3576,Arkansas,0500000US05119,158000,6.9,5.9,9.4,10.8,15,19.2,9.7,13.3,5.1,4.8,52043,77462,25419,Very Low
76,Male,Asian,St. Louis Park Police Department,Unreported,2013,7,14,St. Louis Park,MN,Hennepin,Taser,No known charges,No,44.9488,-93.3649,Minnesota,0500000US27053,517091,4.4,3.6,5.5,6.5,9.8,15.4,14.4,17.4,10,13.1,82369,112406,30037,Very High
